400,50,1.4,531.64,418
,49,1.38,522.02,417.3333333
,48,1.35,511.44,416.6666667
,47,1.34,503.17,416
,46,1.32,496.05,415.3333333
,45,1.29,484.81,414.6666667
,44,1.28,477.52,414
,43,1.26,470.31,413.3333333
,42,1.24,460.81,412.6666667
,41,1.22,452.76,412
,40,1.2,444.8,411.3333333
,39,1.18,436.59,410.6666667
,38,1.16,428.48,410
,37,1.14,420.76,409.3333333
,36,1.12,414.08,408.6666667
,35,1.1,406.19,408
,34,1.08,399.62,407.3333333
,33,1.07,393.72,406.6666667
,32,1.05,386.02,406
,31,1.03,379.3,405.3333333
,30,1.02,373.53,404.6666667
,29,0.99,365.1,404
,28,0.98,359.72,403.3333333
,27,0.96,353.77,402.6666667
,26,0.94,346.68,402
,25,0.94,332,401.3333333
,24,0.93,329,400.6666667
,23,0.92,324,400
,22,0.91,318,399.3333333
,21,0.89,313,398.6666667
,20,0.88,310,398
390,50.19,1.34,505.68,404
,49.06,1.32,496.76,403.4
,48.06,1.3,486.9,402.8
,47.06,1.28,478.21,402.2
,46,1.26,469.29,401.6
,45,1.24,460.14,401
,44,1.21,451.43,400.4
,43,1.2,444.8,399.8
,42.06,1.18,437.57,399.2
,41,1.16,429.77,398.6
,40,1.15,423.33,398
,39,1.12,415.03,397.4
,38,1.11,408.7,396.8
,37,1.09,402.43,396.2
,36.06,1.08,396.2,395.6
,35,1.06,389.09,395
,34,1.04,382.65,394.4
,33,1.02,375.65,393.8
,32,1.01,369.61,393.2
,31,0.99,363.9,392.6
,30,0.97,357.63,392
,29,0.96,351.4,391.4
,28,0.94,345.5,390.8
,27,0.92,339.05,390.2
,26,0.9,332.63,389.6
,25.88,0.9,332.05,389
,,,,388.4
,,,,387.8
,,,,387.2
,,,,386.6
,,,,386
380,50.19,1.34,505.68,387
,49.06,1.32,496.76,386.6666667
,48.06,1.3,486.9,386.3333333
,47.06,1.28,478.21,386
,46,1.26,469.29,385.6666667
,45,1.24,460.14,385.3333333
,44,1.21,451.43,385
,43,1.2,444.8,384.6666667
,42.06,1.18,437.57,384.3333333
,41,1.16,429.77,384
,40,1.15,423.33,383.6666667
,39,1.12,415.03,383.3333333
,38,1.11,408.7,383
,37,1.09,402.43,382.6666667
,36.06,1.08,396.2,382.3333333
,35,1.06,389.09,382
,34,1.04,382.65,381.6666667
,33,1.02,375.65,381.3333333
,32,1.01,369.61,381
,31,0.99,363.9,380.6666667
,30,0.97,357.63,380.3333333
,29,0.96,351.4,380
,28,0.94,345.5,379.6666667
,27,0.92,339.05,379.3333333
,26,0.9,332.63,379
,25.88,0.9,332.05,378.6666667
,24.88,,,378.3333333
,23.88,,,378
,22.88,,,377.6666667
,21.88,,,377.3333333
,20.88,,,377
370,50,,,379
,49,,,378.6666667
,48,,,378.3333333
,47,,,378
,46,,,377.6666667
,45,,,377.3333333
,44,,,377
,43,,,376.6666667
,42,,,376.3333333
,41,,,376
,40,,,375.6666667
,39,,,375.3333333
,38,,,375
,37,,,374.6666667
,36,,,374.3333333
,35,,,374
,34,,,373.6666667
,33,,,373.3333333
,32,,,373
,31,,,372.6666667
,30,,,372.3333333
,29,,,372
,28,,,371.6666667
,27,,,371.3333333
,26,,,371
,25,,,370.6666667
,24,,,370.3333333
,23,,,370
,22,,,369.6666667
,21,,,369.3333333
,20,,,369
360,,,,371
,,,,370.5666667
,,,,370.1333333
,,,,369.7
,,,,369.2666667
,,,,368.8333333
,,,,368.4
,,,,367.9666667
,,,,367.5333333
,,,,367.1
,,,,366.6666667
,,,,366.2333333
,,,,365.8
,,,,365.3666667
,,,,364.9333333
,,,,364.5
,,,,364.0666667
,,,,363.6333333
,,,,363.2
,,,,362.7666667
,,,,362.3333333
,,,,361.9
,,,,361.4666667
,,,,361.0333333
,,,,360.6
,,,,360.1666667
,,,,359.7333333
,,,,359.3
,,,,358.8666667
,,,,358.4333333
,,,,358
350,,,,360
,,,,359.5666667
,,,,359.1333333
,,,,358.7
,,,,358.2666667
,,,,357.8333333
,,,,357.4
,,,,356.9666667
,,,,356.5333333
,,,,356.1
,,,,355.6666667
,,,,355.2333333
,,,,354.8
,,,,354.3666667
,,,,353.9333333
,,,,353.5
,,,,353.0666667
,,,,352.6333333
,,,,352.2
,,,,351.7666667
,,,,351.3333333
,,,,350.9
,,,,350.4666667
,,,,350.0333333
,,,,349.6
,,,,349.1666667
,,,,348.7333333
,,,,348.3
,,,,347.8666667
,,,,347.4333333
,,,,347
340,50,,,352
,49,,,351.4
,48.56,1.22,455.43,350.8
,47.31,1.2,444.8,350.2
,46.25,1.18,436.92,349.6
,45.25,1.17,431.39,349
,44,1.15,423.33,348.4
,43,1.12,414.39,347.8
,42.06,1.11,409.02,347.2
,41.56,1.1,405.25,346.6
,40.12,1.07,395.58,346
,39,1.06,388.48,345.4
,38,1.04,382.96,344.8
,37.13,1.03,377.47,344.2
,36.13,1.01,371.12,343.6
,35.94,1,369.31,343
,35,0.99,364.2,342.4
,34,0.97,357.63,341.8
,33.75,0.97,356.74,341.2
,32.13,0.94,346.09,340.6
,30.5,0.92,336.42,340
,29,0.89,328.56,339.4
,28,0.88,322.49,338.8
,27,0.87,321.62,338.2
,26.06,0.86,316.44,337.6
,25,0.85,,337
,24,,,336.4
,23,,,335.8
,22,,,335.2
,21,,,334.6
,20,,,334
330,50,,,339
,49,,,338.2333333
,48,,,337.4666667
,47,,,336.7
,46,,,335.9333333
,45,,,335.1666667
,44,,,334.4
,43,,,333.6333333
,42,,,332.8666667
,41,,,332.1
,40,,,331.3333333
